동네,NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
역삼,3,서울특별시 강남구 역삼동,766-7,0766,0007,예원하이빌,전세,29.3150,202608,31,"27,000",0,3,2000,도곡로57길 9-9,202609~202809,갱신,-,"24,000",0,연립다세대
역삼,4,서울특별시 강남구 역삼동,777-40,0777,0040,(777-40),전세,34.3100,202608,31,"16,000",0,4,1996,도곡로25길 32,202609~202708,갱신,-,"12,000",0,연립다세대
역삼,5,서울특별시 강남구 역삼동,752-44,0752,0044,하우스안,월세,17.0100,202608,31,"2,000",56,4,2014,역삼로9길 4,202608~202708,갱신,-,"2,000",53,연립다세대
역삼,6,서울특별시 강남구 역삼동,792-33,0792,0033,서담villageA,월세,29.6100,202608,31,"17,000",87,4,2018,논현로67길 34-3,202608~202809,갱신,사용,"17,000",80,연립다세대
건대입구,8,서울특별시 광진구 구의동,56-15,0056,0015,선경주택,전세,77.8800,202608,31,"32,000",0,3,2001,자양로46길 28,202610~202810,갱신,사용,"32,000",0,연립다세대
성수,22,서울특별시 성동구 성수동2가,289-149,0289,0149,청운,월세,17.5200,202608,31,"1,000",53,3,2012,아차산로7나길 7,202610~202710,신규,-,,,연립다세대
홍대,37,서울특별시 마포구 상수동,333-15,0333,0015,미주빌1차,월세,23.2300,202608,31,"13,000",15,3,2008,와우산로5길 17-7,202610~202810,신규,-,,,연립다세대
홍대,39,서울특별시 마포구 서교동,247-177,0247,0177,두두빌,월세,16.5000,202608,31,"8,722",5,2,2012,성미산로6길 12,202610~202810,신규,-,,,연립다세대
건대입구,52,서울특별시 광진구 화양동,36-22,0036,0022,더하임,전세,29.8200,202608,31,"30,000",0,2,2026,아차산로23길 48-5,202609~202809,신규,-,,,연립다세대
홍대,57,서울특별시 마포구 서교동,475-30,0475,0030,휴먼스빌,전세,18.3600,202608,31,"13,230",0,2,2012,월드컵로14길 10-5,202611~202811,신규,-,,,연립다세대
수유,102,서울특별시 강북구 수유동,86-2,0086,0002,스마트명가,월세,30.1400,202608,31,"1,500",123,4,2022,도봉로73길 9,202608~202708,신규,-,,,연립다세대
수유,103,서울특별시 강북구 수유동,313-6,0313,0006,홍원하이빌강북7,월세,24.0900,202608,31,"5,811",5,5,2021,삼양로119길 22,202609~202808,갱신,-,"2,346",24,연립다세대
건대입구,105,서울특별시 광진구 자양동,632-1,0632,0001,어반엘632,전세,21.2000,202608,31,"26,000",0,4,2026,자양로11길 45,202609~202808,신규,-,,,연립다세대
노원,113,서울특별시 노원구 상계동,135-90,0135,0090,(135-90),월세,40.4400,202608,31,"12,000",30,1,1989,한글비석로24다길 81,202611~202811,신규,-,,,연립다세대
건대입구,114,서울특별시 광진구 구의동,225-49,0225,0049,(225-49),월세,53.7700,202608,31,"1,000",48,1,2003,구의로 47-7,202609~202709,신규,-,,,연립다세대
합정,115,서울특별시 마포구 합정동,395-9,0395,0009,람세스텔,월세,12.4300,202608,31,"3,000",50,3,2013,월드컵로5길 91-4,202608~202808,신규,-,,,연립다세대
건대입구,122,서울특별시 광진구 구의동,596-11,0596,0011,힐카운티11,월세,26.5500,202608,31,"25,000",10,6,2017,구의강변로 31-14,202610~202810,신규,-,,,연립다세대
신촌,124,서울특별시 서대문구 창천동,369,0369,0000,아트빌리지2,월세,19.0800,202608,31,"1,000",75,2,2012,연희로2길 55,202609~202709,신규,-,,,연립다세대
합정,128,서울특별시 마포구 합정동,429-54,0429,0054,이에스에듀포레,전세,32.6500,202608,31,"39,000",0,5,2022,양화로3길 83,202609~202809,신규,-,,,연립다세대
합정,143,서울특별시 마포구 합정동,439-1,0439,0001,삼환빌라맨션,전세,81.9200,202608,31,"40,000",0,1,1983,희우정로 46,202608~202808,신규,-,,,연립다세대
건대입구,153,서울특별시 광진구 자양동,687-23,0687,0023,태영빌라,월세,32.0100,202608,31,"10,000",47,5,2007,뚝섬로62길 33-9,202609~202809,갱신,사용,"10,000",45,연립다세대
건대입구,154,서울특별시 광진구 자양동,683-19,0683,0019,강변리치빌,월세,66.4800,202608,31,"25,000",40,3,2009,뚝섬로 710-8,202611~202811,신규,-,,,연립다세대
건대입구,155,서울특별시 광진구 자양동,643-3,0643,0003,리시안,전세,21.2800,202608,31,"18,000",0,5,2016,뚝섬로52마길 40,202610~202809,갱신,사용,"18,000",0,연립다세대
건대입구,156,서울특별시 광진구 자양동,624,0624,0000,향기빌리지,전세,29.0400,202608,31,"28,000",0,2,2019,자양로13가길 8,202610~202810,신규,-,,,연립다세대
건대입구,157,서울특별시 광진구 자양동,58-5,0058,0005,리베르떼자양,전세,29.9700,202608,31,"28,000",0,2,2020,능동로3라길 12,202610~202810,신규,-,,,연립다세대
건대입구,158,서울특별시 광진구 자양동,16-39,0016,0039,(16-39),전세,20.9800,202608,31,"30,000",0,4,2026,아차산로22길 17-6,202609~202809,신규,-,,,연립다세대
청량리,159,서울특별시 동대문구 청량리동,19-8,0019,0008,선향빌라,월세,92.2600,202608,31,"1,500",53,2,2004,왕산로53길 16-1,202609~202809,갱신,-,"1,500",47,연립다세대
사당,193,서울특별시 동작구 사당동,235-63,0235,0063,엠펠리스,월세,52.1300,202608,31,"10,000",120,2,2020,솔밭로 70,202610~202810,신규,-,,,연립다세대
사당,194,서울특별시 동작구 사당동,1038-4,1038,0004,세왕맨션,전세,72.2000,202608,31,"1,000",0,3,2000,사당로26길 115,202608~202808,신규,-,,,연립다세대
사당,195,서울특별시 동작구 사당동,427-28,0427,0028,선일아트빌라,전세,58.0500,202608,31,"29,000",0,1,1991,사당로22나길 9,202610~202810,신규,-,,,연립다세대
사당,196,서울특별시 동작구 사당동,316-86,0316,0086,진영아트빌,전세,55.2100,202608,31,"25,000",0,-1,2002,사당로20다길 5,202611~202811,갱신,-,"23,000",0,연립다세대
사당,197,서울특별시 동작구 사당동,278,0278,0000,진영아트빌나동,월세,63.1000,202608,31,"1,000",100,3,2003,사당로16다길 27-1,202608~202808,신규,-,,,연립다세대
신림,198,서울특별시 관악구 신림동,533-14,0533,0014,J헤븐빌,월세,12.0700,202608,31,"1,000",52,2,2015,조원로21길 5,202608~202808,신규,-,,,연립다세대
신림,199,서울특별시 관악구 신림동,547-22,0547,0022,엘시티,월세,19.2000,202608,31,"2,000",75,3,2013,조원로14길 13,202609~202809,신규,-,,,연립다세대
신림,206,서울특별시 관악구 신림동,98-361,0098,0361,동신2차,월세,46.5300,202608,31,500,45,3,1991,복은12길 8,202609~202808,신규,-,,,연립다세대
신림,214,서울특별시 관악구 신림동,92-200,0092,0200,제일빌라(92-200),전세,30.9200,202608,31,"11,000",0,1,1991,신림로44다길 12,202608~202808,신규,-,,,연립다세대
홍대,215,서울특별시 마포구 서교동,449-21,0449,0021,동궁빌라,월세,30.3100,202608,31,"18,000",40,4,2012,동교로19길 52,202610~202810,신규,-,,,연립다세대
건대입구,218,서울특별시 광진구 구의동,60-67,0060,0067,60-67,월세,29.9900,202608,31,"10,000",85,3,2016,자양로42길 32,202610~202810,신규,-,,,연립다세대
상도,232,서울특별시 동작구 상도동,17-59,0017,0059,용선아트빌,월세,19.3600,202608,31,"1,000",65,4,2013,만양로2길 4,202609~202809,신규,-,,,연립다세대
신림,242,서울특별시 관악구 신림동,10-357,0010,0357,(10-357),월세,49.3000,202608,31,32,193,3,1991,남부순환로184길 12,202608~202612,신규,-,,,연립다세대
상도,243,서울특별시 동작구 상도동,259-61,0259,0061,푸른숲하우스,월세,29.8400,202608,31,"13,500",32,4,2015,성대로 58-11,202610~202810,갱신,사용,"13,500",28,연립다세대
상도,244,서울특별시 동작구 상도동,202-180,0202,0180,이에스하임6차,전세,27.6000,202608,31,"25,000",0,3,2017,성대로31길 7,202609~202809,갱신,사용,"24,400",0,연립다세대
상도,245,서울특별시 동작구 상도동,244-29,0244,0029,다인캐슬2차,전세,36.7800,202608,31,"47,700",0,6,2019,성대로17길 49,202609~202809,갱신,-,"47,700",0,연립다세대
청량리,257,서울특별시 동대문구 청량리동,205-759,0205,0759,삼호빌,전세,69.0300,202608,31,"27,000",0,4,2012,회기로 36-5,202609~202809,갱신,사용,"26,000",0,연립다세대
건대입구,280,서울특별시 광진구 구의동,78-48,0078,0048,구의동연리지,월세,35.5900,202608,31,"12,000",50,5,2016,자양로41길 7-9,202610~202810,신규,-,,,연립다세대
건대입구,295,서울특별시 광진구 자양동,225-26,0225,0026,금강아트빌라,전세,66.7100,202608,30,"36,700",0,1,1998,아차산로41길 36,202610~202810,갱신,-,"36,700",0,연립다세대
건대입구,296,서울특별시 광진구 자양동,609-4,0609,0004,(609-4),월세,21.9000,202608,30,"1,000",57,5,2016,뚝섬로43길 8,202609~202809,갱신,-,"1,000",52,연립다세대
건대입구,297,서울특별시 광진구 자양동,16-15,0016,0015,플레이스자양2차,월세,25.8200,202608,30,500,135,3,2026,아차산로24길 24-4,202608~202702,신규,-,,,연립다세대
신림,307,서울특별시 관악구 신림동,10-584,0010,0584,(10-584),월세,91.0500,202608,30,"1,000",63,3,2006,남부순환로194길 10,202608~202808,신규,-,,,연립다세대
신림,308,서울특별시 관악구 신림동,598-108,0598,0108,성화주택다,전세,52.3800,202608,30,"9,700",0,-1,1993,법원단지5나길 48,202609~202809,갱신,사용,"9,700",0,연립다세대
역삼,309,서울특별시 강남구 역삼동,658,0658,0000,(658),월세,77.1500,202608,30,"15,000",162,3,2002,봉은사로30길 11,202610~202809,신규,-,,,연립다세대
역삼,310,서울특별시 강남구 역삼동,766-1,0766,0001,ACROSVILL,전세,60.7400,202608,30,"15,000",0,1,2002,도곡로51길 6,202609~202809,갱신,-,"15,000",0,연립다세대
역삼,311,서울특별시 강남구 역삼동,781-24,0781,0024,(781-24),월세,28.4500,202608,30,"2,000",56,1,2003,도곡로33길 23,202608~202808,신규,-,,,연립다세대
역삼,312,서울특별시 강남구 역삼동,794-14,0794,0014,원형빌라,전세,82.1100,202608,30,"55,000",0,3,1990,논현로65길 38,202608~202808,갱신,사용,"55,000",0,연립다세대
성수,315,서울특별시 성동구 성수동2가,321-58,0321,0058,하나빌리지,전세,29.5700,202608,30,"24,500",0,4,2012,성수일로4가길 11,202610~202810,신규,-,,,연립다세대
성수,316,서울특별시 성동구 성수동2가,289-80,0289,0080,성수하이츠빌(289-80),전세,71.5800,202608,30,"54,000",0,4,2002,아차산로7길 17-17,202611~202811,신규,-,,,연립다세대
왕십리,322,서울특별시 성동구 행당동,1-76,0001,0076,태성,월세,21.2400,202608,30,"1,000",70,3,2003,마조로11길 8,202609~202809,신규,-,,,연립다세대
신촌,331,서울특별시 서대문구 창천동,406,0406,0000,(406-0),월세,14.7500,202608,30,"1,000",60,2,2013,연희로2길 26,202608~202808,신규,-,,,연립다세대
노원,342,서울특별시 노원구 공릉동,401-6,0401,0006,해오름.F,월세,12.9600,202608,30,"2,000",37,4,2013,공릉로43가길 9,202608~202708,신규,-,,,연립다세대
역삼,353,서울특별시 강남구 역삼동,695-12,0695,0012,역삼아르떼,전세,29.9700,202608,29,"46,000",0,4,2020,테헤란로55길 33,202610~202810,신규,-,,,연립다세대
건대입구,358,서울특별시 광진구 구의동,208-61,0208,0061,(208-61),전세,41.0900,202608,29,"25,000",0,3,2003,광나루로46길 48,202610~202809,갱신,-,"22,000",0,연립다세대
역삼,359,서울특별시 강남구 역삼동,745-35,0745,0035,다올2차,전세,29.9000,202608,29,"36,000",0,6,2019,논현로75길 28,202608~202808,갱신,사용,"35,000",0,연립다세대
역삼,363,서울특별시 강남구 역삼동,728-51,0728,0051,다올하우스,전세,29.0300,202608,29,"32,550",0,4,2018,테헤란로32길 53,202609~202809,갱신,사용,"32,550",0,연립다세대
