동네,시군구,번지,건물명,위도,경도,전월세구분,전용면적(㎡),층,보증금(만원),월세금(만원),건축년도
역삼,서울특별시 강남구 역삼동,766-7,예원하이빌,37.49988,127.03856,전세,29.3150,3,"27,000",0,2000
역삼,서울특별시 강남구 역삼동,777-40,(777-40),37.49988,127.03856,전세,34.3100,4,"16,000",0,1996
역삼,서울특별시 강남구 역삼동,752-44,하우스안,37.49988,127.03856,월세,17.0100,4,"2,000",56,2014
역삼,서울특별시 강남구 역삼동,792-33,서담villageA,37.49988,127.03856,월세,29.6100,4,"17,000",87,2018
건대입구,서울특별시 광진구 구의동,56-15,선경주택,37.5444896,127.0874678,전세,77.8800,3,"32,000",0,2001
성수,서울특별시 성동구 성수동2가,289-149,청운,37.54048,127.05601,월세,17.5200,3,"1,000",53,2012
홍대,서울특별시 마포구 상수동,333-15,미주빌1차,37.54743,126.92473,월세,23.2300,3,"13,000",15,2008
홍대,서울특별시 마포구 서교동,247-177,두두빌,37.5550711,126.9238244,월세,16.5000,2,"8,722",5,2012
건대입구,서울특별시 광진구 화양동,36-22,더하임,37.54408,127.06895,전세,29.8200,2,"30,000",0,2026
홍대,서울특별시 마포구 서교동,475-30,휴먼스빌,37.5550711,126.9238244,전세,18.3600,2,"13,230",0,2012
수유,서울특별시 강북구 수유동,86-2,스마트명가,37.636597,127.0043825,월세,30.1400,4,"1,500",123,2022
수유,서울특별시 강북구 수유동,313-6,홍원하이빌강북7,37.636597,127.0043825,월세,24.0900,5,"5,811",5,2021
건대입구,서울특별시 광진구 자양동,632-1,어반엘632,37.5316905,127.0749477,전세,21.2000,4,"26,000",0,2026
노원,서울특별시 노원구 상계동,135-90,(135-90),37.66727,127.07242,월세,40.4400,1,"12,000",30,1989
건대입구,서울특별시 광진구 구의동,225-49,(225-49),37.5444896,127.0874678,월세,53.7700,1,"1,000",48,2003
합정,서울특별시 마포구 합정동,395-9,람세스텔,37.5477846,126.9095636,월세,12.4300,3,"3,000",50,2013
