NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 송파구 문정동,48-9,0048,0009,희망(WISH),월세,27.5700,202608,31,"6,642",6,3,2023,동남로2길 21-17,202609~202808,갱신,-,"6,642",6,연립다세대
2,서울특별시 송파구 문정동,10,0010,0000,(10-0),월세,18.9300,202608,31,"25,200",5,5,2020,송이로32길 4-13,202610~202810,갱신,-,"25,200",0,연립다세대
3,서울특별시 강남구 역삼동,766-7,0766,0007,예원하이빌,전세,29.3150,202608,31,"27,000",0,3,2000,도곡로57길 9-9,202609~202809,갱신,-,"24,000",0,연립다세대
4,서울특별시 강남구 역삼동,777-40,0777,0040,(777-40),전세,34.3100,202608,31,"16,000",0,4,1996,도곡로25길 32,202609~202708,갱신,-,"12,000",0,연립다세대
5,서울특별시 강남구 역삼동,752-44,0752,0044,하우스안,월세,17.0100,202608,31,"2,000",56,4,2014,역삼로9길 4,202608~202708,갱신,-,"2,000",53,연립다세대
6,서울특별시 강남구 역삼동,792-33,0792,0033,서담villageA,월세,29.6100,202608,31,"17,000",87,4,2018,논현로67길 34-3,202608~202809,갱신,사용,"17,000",80,연립다세대
7,서울특별시 강남구 개포동,1200-10,1200,0010,파크타운,전세,55.5400,202608,31,"25,400",0,4,2001,개포로20길 49,202609~202809,갱신,-,"24,200",0,연립다세대
8,서울특별시 광진구 구의동,56-15,0056,0015,선경주택,전세,77.8800,202608,31,"32,000",0,3,2001,자양로46길 28,202610~202810,갱신,사용,"32,000",0,연립다세대
9,서울특별시 송파구 문정동,111-2,0111,0002,청송가동,전세,44.2700,202608,31,"40,000",0,2,2019,송이로36길 7,202611~202811,신규,-,,,연립다세대
10,서울특별시 중랑구 묵동,121-66,0121,0066,현대화이트빌(121-66),전세,73.9800,202608,31,"27,000",0,3,2008,공릉로2길 34-5,202608~202808,신규,-,,,연립다세대
11,서울특별시 중랑구 중화동,325-13,0325,0013,리채퍼스트,전세,34.8100,202608,31,"34,500",0,6,2023,중랑천로 123-3,202611~202811,신규,-,,,연립다세대
12,서울특별시 은평구 대조동,190-24,0190,0024,웰튼빌,전세,37.9600,202608,31,"18,300",0,4,2011,역말로9길 24-11,202608~202808,신규,-,,,연립다세대
13,서울특별시 은평구 대조동,31-2,0031,0002,은혜빌라B,월세,80.2200,202608,31,"24,500",15,3,2009,통일로69길 29-1,202611~202811,신규,-,,,연립다세대
14,서울특별시 은평구 대조동,55-8,0055,0008,예일빌라A동,월세,78.4800,202608,31,"10,000",60,1,1986,서오릉로8길 7-3,202609~202809,신규,-,,,연립다세대
15,서울특별시 송파구 문정동,10-7,0010,0007,(10-7),월세,22.7100,202608,31,"1,000",65,5,2017,동남로8길 25-8,202610~202810,갱신,-,"1,000",63,연립다세대
16,서울특별시 중랑구 중화동,315-31,0315,0031,도원휴먼빌,월세,25.5200,202608,31,"3,158",5,4,2021,동일로123길 76,202609~202808,갱신,-,105,22,연립다세대
17,서울특별시 중랑구 중화동,457,0457,0000,중화동힐스페이스,전세,39.2100,202608,31,"27,300",0,2,2018,봉화산로26길 62,202611~202810,신규,-,,,연립다세대
18,서울특별시 중랑구 중화동,457,0457,0000,중화동힐스페이스,전세,40.2300,202608,31,"27,500",0,4,2018,봉화산로26길 62,202611~202811,신규,-,,,연립다세대
19,서울특별시 서초구 서초동,1451-73,1451,0073,두원에코타운,월세,28.0400,202608,31,"2,000",130,3,2016,효령로52길 45,202609~202709,신규,-,,,연립다세대
20,서울특별시 서초구 서초동,1506-59,1506,0059,모던하임,월세,18.9100,202608,31,"21,000",7,3,2014,명달로28길 15,202609~202809,갱신,-,"19,700",0,연립다세대
21,서울특별시 은평구 갈현동,464-21,0464,0021,삼우렉스빌(464-21),월세,30.7800,202608,31,"1,000",80,5,2011,연서로17길 6,202611~202811,신규,-,,,연립다세대
22,서울특별시 성동구 성수동2가,289-149,0289,0149,청운,월세,17.5200,202608,31,"1,000",53,3,2012,아차산로7나길 7,202610~202710,신규,-,,,연립다세대
23,서울특별시 송파구 문정동,86-10,0086,0010,하나빌,월세,52.1100,202608,31,"38,000",20,4,2015,송이로36길 54-19,202611~202811,신규,-,,,연립다세대
24,서울특별시 송파구 문정동,61-1,0061,0001,엘림주택,월세,19.7400,202608,31,"1,000",58,4,2002,문정로4길 10-42,202609~202809,신규,-,,,연립다세대
25,서울특별시 은평구 갈현동,517-27,0517,0027,고은명가,월세,28.3900,202608,31,"13,000",20,2,2014,갈현로27길 33-5,202611~202811,신규,-,,,연립다세대
26,서울특별시 은평구 갈현동,326-24,0326,0024,수성렉스빌,전세,36.5300,202608,31,"10,000",0,6,2016,서오릉로22길 9-3,202608~202907,신규,-,,,연립다세대
27,서울특별시 중랑구 중화동,330-100,0330,0100,대광맨션(330-100),전세,42.1200,202608,31,"22,000",0,5,2015,봉화산로2길 34-5,202608~202808,신규,-,,,연립다세대
28,서울특별시 중랑구 중화동,275-8,0275,0008,퍼스티안,전세,28.8200,202608,31,"16,000",0,5,2015,동일로140길 59,202609~202809,신규,-,,,연립다세대
29,서울특별시 양천구 신정동,927-57,0927,0057,시티파크빌,월세,59.9600,202608,31,"19,679",4,2,2012,오목로29길 21-5,202609~202703,갱신,-,"19,679",0,연립다세대
30,서울특별시 양천구 신정동,927-20,0927,0020,태영아트빌,전세,43.0700,202608,31,"20,000",0,4,2012,오목로29길 21,202610~202810,갱신,-,"18,000",0,연립다세대
31,서울특별시 강동구 둔촌동,67-10,0067,0010,상상프리(67-10),월세,29.0600,202608,31,"24,570",11,4,2018,천호대로186길 8,202611~202811,신규,-,,,연립다세대
32,서울특별시 강동구 둔촌동,484,0484,0000,삼경주택나동,전세,41.6400,202608,31,"30,000",0,1,1986,양재대로100길 26,202608~202808,신규,-,,,연립다세대
33,서울특별시 송파구 문정동,59-10,0059,0010,대영빌라,월세,57.1500,202608,31,"30,000",20,3,2004,송파대로18길 4,202611~202811,갱신,사용,"30,000",10,연립다세대
34,서울특별시 중랑구 중화동,326-107,0326,0107,(326-107),월세,35.4900,202608,31,"10,000",20,2,1977,중랑천로24길 3,202609~202809,신규,-,,,연립다세대
35,서울특별시 양천구 신정동,922-12,0922,0012,미다스,월세,27.9600,202608,31,"19,000",30,4,2016,오목로 151-5,202609~202809,신규,-,,,연립다세대
