route_id,route_name,mode,headway_sec,is_loop,loop_close_sec
SUB:1호선,1호선,subway,240,0,0
SUB:1호선:R,1호선 (역방향),subway,240,0,0
SUB:1호선#1,1호선 (2계통),subway,240,0,0
SUB:1호선#1:R,1호선 (2계통) (역방향),subway,240,0,0
SUB:1호선#2,1호선 (3계통),subway,240,0,0
SUB:1호선#2:R,1호선 (3계통) (역방향),subway,240,0,0
SUB:1호선#3,1호선 (4계통),subway,240,0,0
SUB:1호선#3:R,1호선 (4계통) (역방향),subway,240,0,0
SUB:2호선,2호선,subway,150,1,90
SUB:2호선:R,2호선 (역방향),subway,150,1,90
SUB:2호선#1,2호선 (2계통),subway,150,0,0
SUB:2호선#1:R,2호선 (2계통) (역방향),subway,150,0,0
SUB:2호선#2,2호선 (3계통),subway,150,0,0
SUB:2호선#2:R,2호선 (3계통) (역방향),subway,150,0,0
SUB:3호선,3호선,subway,210,0,0
SUB:3호선:R,3호선 (역방향),subway,210,0,0
SUB:4호선,4호선,subway,210,0,0
SUB:4호선:R,4호선 (역방향),subway,210,0,0
SUB:4호선#1,4호선 (2계통),subway,210,0,0
SUB:4호선#1:R,4호선 (2계통) (역방향),subway,210,0,0
SUB:5호선,5호선,subway,210,0,0
SUB:5호선:R,5호선 (역방향),subway,210,0,0
SUB:5호선#1,5호선 (2계통),subway,210,0,0
SUB:5호선#1:R,5호선 (2계통) (역방향),subway,210,0,0
SUB:6호선,6호선,subway,240,0,0
SUB:6호선:R,6호선 (역방향),subway,240,0,0
SUB:7호선,7호선,subway,180,0,0
SUB:7호선:R,7호선 (역방향),subway,180,0,0
SUB:8호선,8호선,subway,270,0,0
SUB:8호선:R,8호선 (역방향),subway,270,0,0
SUB:9호선,9호선,subway,240,0,0
SUB:9호선:R,9호선 (역방향),subway,240,0,0
SUB:경강선,경강선,subway,900,0,0
SUB:경강선:R,경강선 (역방향),subway,900,0,0
SUB:경의중앙선,경의중앙선,subway,480,0,0
SUB:경의중앙선:R,경의중앙선 (역방향),subway,480,0,0
SUB:경의중앙선#1,경의중앙선 (2계통),subway,480,0,0
SUB:경의중앙선#1:R,경의중앙선 (2계통) (역방향),subway,480,0,0
SUB:경의중앙선#2,경의중앙선 (3계통),subway,480,0,0
SUB:경의중앙선#2:R,경의중앙선 (3계통) (역방향),subway,480,0,0
SUB:경의중앙선#3,경의중앙선 (4계통),subway,480,0,0
SUB:경의중앙선#3:R,경의중앙선 (4계통) (역방향),subway,480,0,0
SUB:경의중앙선#4,경의중앙선 (5계통),subway,480,0,0
SUB:경의중앙선#4:R,경의중앙선 (5계통) (역방향),subway,480,0,0
SUB:경춘선,경춘선,subway,900,0,0
SUB:경춘선:R,경춘선 (역방향),subway,900,0,0
SUB:경춘선#1,경춘선 (2계통),subway,900,0,0
SUB:경춘선#1:R,경춘선 (2계통) (역방향),subway,900,0,0
SUB:공항철도,공항철도,subway,360,0,0
SUB:공항철도:R,공항철도 (역방향),subway,360,0,0
SUB:김포골드라인,김포골드라인,subway,240,0,0
SUB:김포골드라인:R,김포골드라인 (역방향),subway,240,0,0
SUB:서해선,서해선,subway,600,0,0
SUB:서해선:R,서해선 (역방향),subway,600,0,0
SUB:수인분당선,수인분당선,subway,360,0,0
SUB:수인분당선:R,수인분당선 (역방향),subway,360,0,0
SUB:신림선,신림선,subway,300,0,0
SUB:신림선:R,신림선 (역방향),subway,300,0,0
SUB:신분당선,신분당선,subway,300,0,0
SUB:신분당선:R,신분당선 (역방향),subway,300,0,0
SUB:용인에버라인,용인에버라인,subway,300,0,0
SUB:용인에버라인:R,용인에버라인 (역방향),subway,300,0,0
SUB:우이신설선,우이신설선,subway,300,0,0
SUB:우이신설선:R,우이신설선 (역방향),subway,300,0,0
SUB:우이신설선#1,우이신설선 (2계통),subway,300,0,0
SUB:우이신설선#1:R,우이신설선 (2계통) (역방향),subway,300,0,0
SUB:의정부경전철,의정부경전철,subway,420,0,0
SUB:의정부경전철:R,의정부경전철 (역방향),subway,420,0,0
SUB:인천1호선,인천1호선,subway,300,0,0
SUB:인천1호선:R,인천1호선 (역방향),subway,300,0,0
SUB:인천2호선,인천2호선,subway,300,0,0
SUB:인천2호선:R,인천2호선 (역방향),subway,300,0,0
SUB:인천2호선#1,인천2호선 (2계통),subway,300,0,0
SUB:인천2호선#1:R,인천2호선 (2계통) (역방향),subway,300,0,0
