stop_id,stop_name,lat,lon,mode
SUB:인천,인천,37.4769719,126.6173267,subway
SUB:동인천,동인천,37.4756163,126.63231,subway
SUB:도원,도원,37.469062,126.6416049,subway
SUB:제물포,제물포,37.4666952,126.6565865,subway
SUB:도화,도화,37.4660994,126.6674091,subway
SUB:주안,주안,37.4648978,126.6788699,subway
SUB:간석,간석,37.4645678,126.6924772,subway
SUB:동암,동암,37.4699087,126.7029777,subway
SUB:백운,백운,37.4824022,126.7063864,subway
SUB:부평,부평,37.4893315,126.7245079,subway
SUB:부개,부개,37.4884186,126.7398397,subway
SUB:송내,송내,37.4876022,126.7516291,subway
SUB:중동,중동,37.4867408,126.7630781,subway
SUB:부천,부천,37.4841939,126.7813237,subway
SUB:소사,소사,37.4826204,126.7946398,subway
SUB:역곡,역곡,37.4848544,126.8111076,subway
SUB:온수,온수,37.4919928,126.8229565,subway
SUB:오류동,오류동,37.4939856,126.8434437,subway
SUB:개봉,개봉,37.4945762,126.8581644,subway
SUB:구일,구일,37.4957217,126.8689185,subway
SUB:구로,구로,37.5033463,126.8823678,subway
SUB:신도림,신도림,37.5089506,126.8911913,subway
SUB:영등포,영등포,37.5154485,126.9072862,subway
SUB:신길,신길,37.5175712,126.9165959,subway
SUB:대방,대방,37.5134068,126.9254113,subway
SUB:노량진,노량진,37.5136072,126.9418701,subway
SUB:용산,용산,37.5305621,126.9663678,subway
SUB:남영,남영,37.5395691,126.9714083,subway
SUB:서울역,서울역,37.552576,126.9724492,subway
SUB:시청,시청,37.5630913,126.9739637,subway
SUB:종각,종각,37.5701195,126.9821118,subway
SUB:종로3가,종로3가,37.5720185,126.9916922,subway
SUB:종로5가,종로5가,37.5709298,127.0011763,subway
SUB:동대문,동대문,37.5707564,127.0093746,subway
SUB:동묘앞,동묘앞,37.571413,127.0158026,subway
SUB:신설동,신설동,37.5740982,127.0263347,subway
SUB:제기동,제기동,37.5783087,127.0335456,subway
SUB:청량리,청량리,37.5806416,127.0482186,subway
SUB:회기,회기,37.5891676,127.0572961,subway
SUB:외대앞,외대앞,37.5956329,127.063374,subway
SUB:신이문,신이문,37.600931,127.0669802,subway
SUB:석계,석계,37.6148757,127.065768,subway
SUB:광운대,광운대,37.6235166,127.0621851,subway
SUB:월계,월계,37.6323154,127.0588626,subway
SUB:녹천,녹천,37.6439844,127.0516865,subway
SUB:창동,창동,37.6529636,127.0466586,subway
SUB:방학,방학,37.666534,127.0444265,subway
SUB:도봉,도봉,37.6781766,127.0453853,subway
SUB:도봉산,도봉산,37.688786,127.0461858,subway
SUB:망월사,망월사,37.7094036,127.047594,subway
SUB:회룡,회룡,37.7250332,127.0471527,subway
SUB:의정부,의정부,37.7366367,127.0464268,subway
SUB:가능,가능,37.7476557,127.0447039,subway
SUB:녹양,녹양,37.758501,127.042323,subway
SUB:양주,양주,37.7733153,127.0447041,subway
SUB:덕계,덕계,37.8179643,127.0564018,subway
SUB:덕정,덕정,37.8424204,127.0616808,subway
SUB:지행,지행,37.8915262,127.0557765,subway
SUB:동두천중앙,동두천중앙,37.9008562,127.0564914,subway
SUB:보산,보산,37.9133009,127.0573342,subway
SUB:동두천,동두천,37.9266917,127.0550196,subway
SUB:소요산,소요산,37.9471617,127.0607225,subway
SUB:청산,청산,37.9943328,127.0736759,subway
SUB:전곡,전곡,38.0237849,127.0724112,subway
SUB:연천,연천,38.1004613,127.0738629,subway
SUB:가산디지털단지,가산디지털단지,37.4823798,126.8821636,subway
SUB:독산,독산,37.4668796,126.8890361,subway
SUB:금천구청,금천구청,37.4563959,126.8934833,subway
SUB:석수,석수,37.4345411,126.9025637,subway
SUB:관악,관악,37.4191207,126.9090056,subway
SUB:안양,안양,37.4006749,126.9238319,subway
SUB:명학,명학,37.3837522,126.93601,subway
SUB:금정,금정,37.3715851,126.9439463,subway
SUB:군포,군포,37.3534284,126.9485985,subway
SUB:당정,당정,37.3424456,126.9484387,subway
SUB:의왕,의왕,37.3193973,126.9482854,subway
SUB:성균관대,성균관대,37.3003127,126.972123,subway
SUB:화서,화서,37.2833438,126.9900975,subway
SUB:수원,수원,37.266659,127.0013487,subway
SUB:세류,세류,37.2433133,127.014239,subway
SUB:병점,병점,37.2065157,127.0335067,subway
SUB:세마,세마,37.1864677,127.0439663,subway
SUB:오산대,오산대,37.1687277,127.0633372,subway
SUB:오산,오산,37.1438724,127.0666675,subway
SUB:진위,진위,37.109307,127.0623878,subway
SUB:송탄,송탄,37.075606,127.0544205,subway
SUB:서정리,서정리,37.0556777,127.0528971,subway
SUB:평택지제,평택지제,37.0182009,127.070582,subway
SUB:평택,평택,36.9899153,127.0863711,subway
